date,returns
2014-10-02,-0.01388256
2014-10-03,0.0085229
2014-10-06,0.00587434
2014-10-07,0.00326583
2014-10-08,-0.03285329
2014-10-09,0.01228653
2014-10-10,0.00401839
2014-10-13,-0.02825562
2014-10-14,0.02419241
2014-10-15,-0.00219334
2014-10-16,-0.01169067
2014-10-17,0.0070344
2014-10-20,-0.00766586
2014-10-21,0.00596473
2014-10-22,-0.00467617
2014-10-23,-0.01154003
2014-10-24,-0.01462084
2014-10-27,0.01099553
2014-10-28,0.00164469
2014-10-29,-0.00904215
2014-10-30,-0.00675223
2014-10-31,-0.01003624
2014-11-03,0.02538618
2014-11-04,0.00544385
2014-11-05,0.00266481
2014-11-06,0.01902343
2014-11-07,-0.00807666
2014-11-10,-0.01349771
2014-11-11,-0.00609847
2014-11-12,0.00241887
2014-11-13,-0.00208212
2014-11-14,-0.00356137
2014-11-17,0.00192197
2014-11-18,-0.00428215
2014-11-19,-0.01062269
2014-11-20,0.00765763
2014-11-21,-0.0024542
2014-11-24,-0.00261217
2014-11-25,0.0048004
2014-11-26,0.00379688
2014-11-27,-0.00934293
2014-11-28,-0.00621177
2014-12-01,-0.01172071
2014-12-02,-0.01060863
2014-12-03,0.00282313
2014-12-04,-0.00423647
2014-12-05,-0.00794751
2014-12-08,-0.01125712
2014-12-09,0.01118901
2014-12-10,-0.00380891
2014-12-11,0.00203022
2014-12-12,-0.00068914
2014-12-15,-0.00766629
2014-12-16,0.0034684
2014-12-17,0.00096155
2014-12-18,0.00978004
2014-12-19,0.00457435
2014-12-22,-0.00946805
2014-12-23,-0.00106763
2014-12-24,-0.00090142
2014-12-25,-0.00061192
2014-12-26,-0.0086642
2014-12-29,-0.01213647
2014-12-30,-0.00114151
2014-12-31,0.00252079
2015-01-01,-0.00877437
2015-01-02,0.01386162
2015-01-05,0.00530237
2015-01-06,-0.00406053
2015-01-07,0.01598397
2015-01-08,-0.01367649
2015-01-09,-0.00978026
2015-01-12,-0.01046026
2015-01-13,0.0112098
2015-01-14,-0.00747771
2015-01-15,0.00696004
2015-01-16,0.00223943
2015-01-19,-0.00542303
2015-01-20,0.00104689
2015-01-21,-0.01008552
2015-01-22,0.00718096
2015-01-23,-0.00852641
2015-01-26,-0.00762262
2015-01-27,0.00580064
2015-01-28,-0.00406357
2015-01-29,0.01518644
2015-01-30,0.01239614
2015-02-02,-0.01544261
2015-02-03,0.0015199
2015-02-04,-0.00140478
2015-02-05,0.01985148
2015-02-06,-0.00588136
2015-02-09,-0.00646075
2015-02-10,-0.00199929
2015-02-11,-0.00205939
2015-02-12,-0.00830905
2015-02-13,0.0023792
2015-02-16,-0.00468183
2015-02-17,-0.00723191
2015-02-18,0.01296878
2015-02-19,0.0013853
2015-02-20,-0.00900983
2015-02-23,-0.01200123
2015-02-24,-0.00299874
2015-02-25,-0.01087093
2015-02-26,-0.01168579
2015-02-27,0.01035188
2015-03-02,-0.00137608
2015-03-03,-0.00504867
2015-03-04,0.00167616
2015-03-05,-0.00469387
2015-03-06,0.00068611
2015-03-09,0.01431608
2015-03-10,-0.00019504
2015-03-11,-0.00493001
2015-03-12,-0.00910348
2015-03-13,0.00531771
2015-03-16,-0.00126036
2015-03-17,0.00323864
2015-03-18,-0.01189991
2015-03-19,-0.00298147
2015-03-20,0.00086969
2015-03-23,0.0040594
2015-03-24,0.00200029
2015-03-25,-0.00177644
2015-03-26,0.00873253
2015-03-27,-3.68e-05
2015-03-30,-0.01376252
2015-03-31,-0.00970858
2015-04-01,-0.0002987
2015-04-02,0.00184803
2015-04-03,-0.00967982
2015-04-06,-0.00916999
2015-04-07,0.00300904
2015-04-08,0.00210983
2015-04-09,0.00284933
2015-04-10,0.00519772
2015-04-13,0.00057569
2015-04-14,-0.0051105
2015-04-15,0.0086416
2015-04-16,0.00734292
2015-04-17,0.01219395
2015-04-20,0.00384909
2015-04-21,0.00144328
2015-04-22,0.00214893
2015-04-23,0.00274401
2015-04-24,-0.01146631
2015-04-27,-0.00037679
2015-04-28,-0.00171682
2015-04-29,0.00326331
2015-04-30,0.00280395
2015-05-01,-0.00125494
2015-05-04,-0.00196253
2015-05-05,-0.00723175
2015-05-06,0.00247303
2015-05-07,-0.00210086
2015-05-08,-0.00135212
2015-05-11,0.00682495
2015-05-12,0.00683591
2015-05-13,-0.00118222
2015-05-14,0.01049196
2015-05-15,0.00530574
2015-05-18,0.00097642
2015-05-19,-0.00488679
2015-05-20,-0.00485444
2015-05-21,0.00626114
2015-05-22,-0.01157436
2015-05-25,0.01235861
2015-05-26,0.00568235
2015-05-27,-0.00223278
2015-05-28,0.01205255
2015-05-29,0.00217679
2015-06-01,-0.00909882
2015-06-02,-0.00496091
2015-06-03,-0.00809385
2015-06-04,-0.00917675
2015-06-05,0.01556306
2015-06-08,0.00092301
2015-06-09,-0.00155737
2015-06-10,0.00650864
2015-06-11,0.00461725
2015-06-12,-0.00542306
2015-06-15,-0.00778437
2015-06-16,-0.01539433
2015-06-17,0.00798806
2015-06-18,-0.002455
2015-06-19,0.0073615
2015-06-22,-5.557e-05
2015-06-23,-0.01119174
2015-06-24,-0.00545164
2015-06-25,0.01209006
2015-06-26,-0.00557197
2015-06-29,0.00397973
2015-06-30,-0.01966266
2015-07-01,-0.00815819
2015-07-02,0.00920836
2015-07-03,-0.01870911
2015-07-06,0.01142142
2015-07-07,-0.00558949
2015-07-08,-0.00655418
2015-07-09,0.01485566
2015-07-10,-0.00549066
2015-07-13,0.01164904
2015-07-14,-0.00383812
2015-07-15,0.00422289
2015-07-16,0.01067709
2015-07-17,0.01124062
2015-07-20,-0.00183987
2015-07-21,-0.02116416
2015-07-22,0.02014229
2015-07-23,-0.00601792
2015-07-24,0.01597141
2015-07-27,-0.0089368
2015-07-28,-0.00422007
2015-07-29,0.00209949
2015-07-30,0.00057709
2015-07-31,0.02145782
2015-08-03,-0.0195324
2015-08-04,-0.00594454
2015-08-05,0.00441034
2015-08-06,0.00619026
2015-08-07,0.00138564
2015-08-10,0.00308585
2015-08-11,0.01155931
2015-08-12,-0.00492538
2015-08-13,-0.00477139
2015-08-14,-0.00026142
2015-08-17,0.00729888
2015-08-18,-0.01252749
2015-08-19,0.01890847
2015-08-20,-0.00307577
2015-08-21,-0.00578569
2015-08-24,-0.00277333
2015-08-25,-0.00991552
2015-08-26,-0.00841333
2015-08-27,-0.00248179
2015-08-28,0.00497566
2015-08-31,0.00714586
2015-09-01,-0.0028939
2015-09-02,-0.00195754
2015-09-03,0.00423364
2015-09-04,-0.0144442
2015-09-07,-0.00099533
2015-09-08,0.00937476
2015-09-09,0.01458052
2015-09-10,-0.00132559
2015-09-11,-0.01166063
2015-09-14,-0.00507345
2015-09-15,0.01162711
2015-09-16,0.01919035
2015-09-17,-0.00120926
2015-09-18,-0.0145436
2015-09-21,0.00215927
2015-09-22,0.00843881
2015-09-23,0.00950222
2015-09-24,0.00420329
2015-09-25,0.02398014
2015-09-28,0.00054458
2015-09-29,0.03215509
2015-09-30,-0.01468479
2015-10-01,0.02166854
2015-10-02,0.01759329
2015-10-05,0.01325631
2015-10-06,-0.01094765
2015-10-07,-0.00135598
2015-10-08,-0.01602601
2015-10-09,0.00127009
2015-10-12,0.00446873
2015-10-13,0.00798764
2015-10-14,-0.0146411
2015-10-15,-0.0087294
2015-10-16,-0.02641039
2015-10-19,0.00147715
2015-10-20,-0.01371811
2015-10-21,0.0148445
2015-10-22,-0.00700911
2015-10-23,0.00718689
2015-10-26,-0.00449933
2015-10-27,4.3e-06
2015-10-28,-0.00209397
2015-10-29,-0.0130194
2015-10-30,0.01007405
2015-11-02,-0.00957713
2015-11-03,0.01453427
2015-11-04,-0.02803683
2015-11-05,-0.00671596
2015-11-06,0.011301
2015-11-09,0.01136432
2015-11-10,-0.02513595
2015-11-11,0.00287858
2015-11-12,0.00250434
2015-11-13,0.00357807
2015-11-16,-0.004785
2015-11-17,-0.00957074
2015-11-18,0.0022229
2015-11-19,0.00639373
2015-11-20,0.01080948
2015-11-23,-0.00096179
2015-11-24,-0.00868348
2015-11-25,0.00750866
2015-11-26,-0.01399285
2015-11-27,-0.00755106
2015-11-30,-0.00671589
2015-12-01,-0.00013969
2015-12-02,0.00170007
2015-12-03,0.01836304
2015-12-04,0.00664956
2015-12-07,0.00973125
2015-12-08,-0.00390124
2015-12-09,-0.01025421
2015-12-10,-0.00341529
2015-12-11,-0.00464647
2015-12-14,0.01915653
2015-12-15,0.01561244
2015-12-16,0.00974759
2015-12-17,-0.00052948
2015-12-18,-0.01300687
2015-12-21,-0.00301669
2015-12-22,-0.00598227
2015-12-23,-0.00714209
2015-12-24,0.00459336
2015-12-25,0.01699448
2015-12-28,0.02168189
2015-12-29,-0.00164888
2015-12-30,0.00177777
2015-12-31,0.00409413
2016-01-01,-0.00617438
2016-01-04,0.01398692
2016-01-05,0.00622087
2016-01-06,0.00172091
2016-01-07,0.00613789
2016-01-08,-0.00352944
2016-01-11,-0.00124465
2016-01-12,0.01179627
2016-01-13,0.00975921
2016-01-14,0.00235133
2016-01-15,-0.01158817
2016-01-18,0.02344619
2016-01-19,0.00627297
2016-01-20,0.01150994
2016-01-21,-0.0092638
2016-01-22,0.00756693
2016-01-25,0.00758254
2016-01-26,0.00468594
2016-01-27,0.01303583
2016-01-28,-0.01620655
2016-01-29,0.01480237
2016-02-01,-0.00269021
2016-02-02,-0.00379049
2016-02-03,0.00138136
2016-02-04,0.00576122
2016-02-05,0.00341274
2016-02-08,-0.00210395
2016-02-09,0.00663797
2016-02-10,0.02612596
2016-02-11,0.00942006
2016-02-12,-0.00246808
2016-02-15,0.01470704
2016-02-16,0.01162148
2016-02-17,-0.00701541
2016-02-18,0.01519201
2016-02-19,-0.01379607
2016-02-22,0.00734482
2016-02-23,0.02258704
2016-02-24,-0.01340423
2016-02-25,-0.00415567
2016-02-26,-0.00824609
2016-02-29,0.01754005
2016-03-01,-0.00731866
2016-03-02,0.00025456
2016-03-03,0.00594965
2016-03-04,0.01211174
2016-03-07,0.00902378
2016-03-08,-0.00945796
2016-03-09,-0.02102368
2016-03-10,0.01248233
2016-03-11,0.00125416
2016-03-14,0.00788641
2016-03-15,-0.00643976
2016-03-16,0.00027069
2016-03-17,0.01481468
2016-03-18,-0.01578216
2016-03-21,-0.00198775
2016-03-22,-0.01675304
2016-03-23,0.01571819
2016-03-24,0.00231366
2016-03-25,-0.01071833
2016-03-28,-0.01851705
2016-03-29,0.00141719
2016-03-30,0.0019979
2016-03-31,-0.00160815
2016-04-01,0.01458677
2016-04-04,-0.01067577
2016-04-05,0.00884149
2016-04-06,0.01675861
2016-04-07,-0.00636508
2016-04-08,0.01000891
2016-04-11,0.01713089
2016-04-12,-0.01550489
2016-04-13,-0.00722579
2016-04-14,-0.01443905
2016-04-15,0.00657112
2016-04-18,0.02220331
2016-04-19,-0.01775991
2016-04-20,0.00062216
2016-04-21,0.03462372
2016-04-22,-0.00945311
2016-04-25,0.01023516
2016-04-26,0.00935737
2016-04-27,-0.00686696
2016-04-28,0.01318106
2016-04-29,0.00561141
2016-05-02,-0.00090704
2016-05-03,-0.0030536
2016-05-04,0.01609041
2016-05-05,0.00228465
2016-05-06,-0.00855871
2016-05-09,-0.00551827
2016-05-10,0.0038194
2016-05-11,0.0050845
2016-05-12,-0.01425728
2016-05-13,0.01009732
2016-05-16,-0.01263289
2016-05-17,-0.01954898
2016-05-18,-0.00363181
2016-05-19,0.00421042
2016-05-20,0.01105778
2016-05-23,-0.01236101
2016-05-24,-0.00377622
2016-05-25,0.01151365
2016-05-26,-0.00015886
2016-05-27,0.01209802
2016-05-30,0.00726129
2016-05-31,-0.01486274
2016-06-01,-0.00828629
2016-06-02,0.00983255
2016-06-03,-0.0249635
2016-06-06,0.0110392
2016-06-07,-0.00154973
2016-06-08,-0.00999345
2016-06-09,0.02699561
2016-06-10,-0.01167626
2016-06-13,-0.00829636
2016-06-14,-0.00356449
2016-06-15,-0.00357433
2016-06-16,0.00698564
2016-06-17,0.00522794
2016-06-20,-0.02642307
2016-06-21,0.01613475
2016-06-22,0.01527193
2016-06-23,0.01331274
2016-06-24,0.00719936
2016-06-27,-0.01958413
2016-06-28,0.01104721
2016-06-29,-0.00571985
2016-06-30,-0.01352832
2016-07-01,0.00105641
2016-07-04,0.00874843
2016-07-05,-0.01177087
2016-07-06,-0.01256236
2016-07-07,0.00772987
2016-07-08,0.01268386
2016-07-11,-0.0061343
2016-07-12,0.00280596
2016-07-13,0.00046894
2016-07-14,0.01443117
2016-07-15,0.00344557
2016-07-18,-0.01848068
2016-07-19,-0.00923534
2016-07-20,0.01427491
2016-07-21,0.01606962
2016-07-22,0.01620901
2016-07-25,-0.00229086
2016-07-26,-0.01010522
2016-07-27,0.00875505
2016-07-28,-0.00107046
2016-07-29,-0.00235339
2016-08-01,-0.00682266
2016-08-02,0.00383114
2016-08-03,-0.00845787
2016-08-04,-0.00360434
2016-08-05,0.01871921
2016-08-08,-0.00053085
2016-08-09,0.01280119
2016-08-10,0.00260545
2016-08-11,0.00444926
2016-08-12,0.00207208
2016-08-15,0.02070247
2016-08-16,0.0043234
2016-08-17,0.00320538
2016-08-18,0.00204999
2016-08-19,-0.00428118
2016-08-22,0.01121745
2016-08-23,-0.00718275
2016-08-24,-0.01364704
2016-08-25,0.00285423
2016-08-26,0.0045724
2016-08-29,-0.01035735
2016-08-30,0.0028684
2016-08-31,0.00021721
2016-09-01,-0.01325805
2016-09-02,-0.01895685
2016-09-05,0.00392397
2016-09-06,0.00032337
2016-09-07,0.00830135
2016-09-08,-0.01241047
2016-09-09,0.01185114
2016-09-12,0.00145959
2016-09-13,0.00461952
2016-09-14,0.01823244
2016-09-15,7.302e-05
2016-09-16,-0.00140221
2016-09-19,-0.00373556
2016-09-20,-0.01284182
2016-09-21,-0.00054071
2016-09-22,-0.01312611
2016-09-23,-0.01004296
2016-09-26,-0.01727738
2016-09-27,0.00860926
2016-09-28,-0.00083718
2016-09-29,0.01254785
2016-09-30,-0.00552295
2016-10-03,-0.00357426
2016-10-04,-0.00651865
2016-10-05,-0.00859824
2016-10-06,0.01659672
2016-10-07,-0.02838531
2016-10-10,0.01692342
2016-10-11,0.01602818
2016-10-12,-0.00588087
2016-10-13,0.00217807
2016-10-14,0.01985201
2016-10-17,0.00045146
2016-10-18,-0.02573355
2016-10-19,-0.0097264
2016-10-20,0.01835615
2016-10-21,-0.01370349
2016-10-24,0.01792222
2016-10-25,-0.00603393
2016-10-26,0.01065856
2016-10-27,-0.00684247
2016-10-28,-0.00878885
2016-10-31,-0.00381629
2016-11-01,-0.02610412
2016-11-02,0.00862758
2016-11-03,-0.02951073
2016-11-04,-0.00073984
2016-11-07,-0.01654708
2016-11-08,0.0057073
2016-11-09,0.0189377
2016-11-10,0.00059315
2016-11-11,-0.00410139
2016-11-14,0.00422103
2016-11-15,0.006446
2016-11-16,0.01138504
2016-11-17,-0.00558743
2016-11-18,0.0144602
2016-11-21,-0.01215705
2016-11-22,-0.0015379
2016-11-23,0.02644581
2016-11-24,0.00330462
2016-11-25,0.01013923
2016-11-28,0.00578801
2016-11-29,0.00416909
2016-11-30,0.02353034
2016-12-01,0.00125265
2016-12-02,-0.01890395
2016-12-05,-0.00221133
2016-12-06,0.00303525
2016-12-07,-0.00628538
2016-12-08,-0.00636862
2016-12-09,0.01477808
2016-12-12,0.00708273
2016-12-13,0.01860551
2016-12-14,0.00368043
2016-12-15,-0.01235745
2016-12-16,-0.00215827
2016-12-19,-0.00279884
2016-12-20,-0.00315974
2016-12-21,0.00825515
2016-12-22,-0.01742515
2016-12-23,-0.00121433
2016-12-26,0.01704637
2016-12-27,-0.01225571
2016-12-28,0.00884204
2016-12-29,0.00069495
2016-12-30,-0.01721857
2017-01-02,-0.01019946
2017-01-03,0.01582202
2017-01-04,-0.00765981
2017-01-05,0.00128436
2017-01-06,-0.00045898
2017-01-09,-0.01145484
2017-01-10,0.01270117
2017-01-11,0.01051671
2017-01-12,0.00491449
2017-01-13,-0.00111588
2017-01-16,-0.00778461
2017-01-17,-0.00884503
2017-01-18,0.0094946
2017-01-19,-0.01976408
2017-01-20,0.0112988
2017-01-23,0.00420766
2017-01-24,0.00544326
2017-01-25,0.00039015
2017-01-26,-0.0093331
2017-01-27,-0.00799919
2017-01-30,-0.00105006
2017-01-31,0.00445512
2017-02-01,0.01142999
2017-02-02,0.00296018
2017-02-03,0.00513545
2017-02-06,-0.0063176
2017-02-07,0.00774681
2017-02-08,0.0047
2017-02-09,0.01514409
2017-02-10,0.00928771
2017-02-13,0.00087575
2017-02-14,-0.00904154
2017-02-15,0.01423697
2017-02-16,-0.00790648
2017-02-17,0.00354216
2017-02-20,0.00964327
2017-02-21,0.00786495
2017-02-22,-0.00893242
2017-02-23,-0.0081329
2017-02-24,0.01083559
2017-02-27,0.00689013
2017-02-28,0.02811496
2017-03-01,-0.00881921
2017-03-02,-0.01860594
2017-03-03,-0.01425707
2017-03-06,-0.0105361
2017-03-07,-0.00453282
2017-03-08,0.00418659
2017-03-09,0.00406799
2017-03-10,-0.00260959
2017-03-13,-0.00753019
2017-03-14,0.0035803
2017-03-15,-0.00456602
2017-03-16,0.00948541
2017-03-17,-0.00280502
2017-03-20,-0.00511551
2017-03-21,0.01124471
2017-03-22,0.01150652
2017-03-23,0.01565706
2017-03-24,-0.00893765
2017-03-27,0.01050269
2017-03-28,0.01457023
2017-03-29,0.00305449
2017-03-30,-0.00870542
2017-03-31,-0.00082541
2017-04-03,0.00643067
2017-04-04,0.00164182
2017-04-05,0.00148619
2017-04-06,0.00882557
2017-04-07,0.01703054
2017-04-10,0.0153421
2017-04-11,-0.00857603
2017-04-12,-0.01596403
2017-04-13,0.01862259
2017-04-14,0.01705186
2017-04-17,-0.00036894
2017-04-18,-0.01840248
2017-04-19,0.01894564
2017-04-20,-0.00597253
2017-04-21,-0.00963553
2017-04-24,-0.00213123
2017-04-25,0.0016267
2017-04-26,-0.01741549
2017-04-27,-0.01475868
2017-04-28,3.309e-05
2017-05-01,0.00090191
2017-05-02,-0.01670096
2017-05-03,0.0275559
2017-05-04,0.01650123
2017-05-05,0.00795898
2017-05-08,0.00896739
2017-05-09,-0.02712391
2017-05-10,0.00150427
2017-05-11,0.007946
2017-05-12,0.00182611
2017-05-15,0.00475909
2017-05-16,0.00778559
2017-05-17,0.01902758
2017-05-18,0.01437851
2017-05-19,-0.00649393
2017-05-22,0.01398289
2017-05-23,-0.0054178
2017-05-24,0.0028917
2017-05-25,0.00418736
2017-05-26,0.00020454
2017-05-29,-0.00167507
2017-05-30,0.00309494
2017-05-31,0.00361162
2017-06-01,-0.02253203
2017-06-02,-0.00081919
2017-06-05,-0.00827977
2017-06-06,0.01648278
2017-06-07,0.00218993
2017-06-08,-0.00767113
2017-06-09,0.00521098
2017-06-12,0.00171955
2017-06-13,0.00567674
2017-06-14,-0.01908778
2017-06-15,-0.00353667
2017-06-16,-0.00982932
2017-06-19,0.01507183
2017-06-20,0.00838604
2017-06-21,-0.00229868
2017-06-22,-0.0007491
2017-06-23,-0.00073384
2017-06-26,-0.00447012
2017-06-27,-0.0083225
2017-06-28,-0.01137174
2017-06-29,0.01072773
2017-06-30,-0.00931579
2017-07-03,0.0042411
2017-07-04,0.00780929
2017-07-05,0.00517237
2017-07-06,-0.00032682
2017-07-07,0.0050233
2017-07-10,-0.00463098
2017-07-11,-0.00767214
2017-07-12,0.00740537
2017-07-13,0.00518589
2017-07-14,0.00899435
2017-07-17,0.00027514
2017-07-18,-0.01445123
2017-07-19,-0.00375453
2017-07-20,-0.00542198
2017-07-21,0.00837476
2017-07-24,-0.00659694
2017-07-25,0.00776042
2017-07-26,0.00222282
2017-07-27,0.00256011
2017-07-28,0.00230092
2017-07-31,0.00474285
2017-08-01,-0.00718841
2017-08-02,0.00886553
2017-08-03,-0.0114454
2017-08-04,-0.00524911
2017-08-07,-0.00531752
2017-08-08,0.00596766
2017-08-09,-0.00582102
2017-08-10,0.01330029
2017-08-11,-0.00747304
2017-08-14,0.0218102
2017-08-15,0.00706559
2017-08-16,0.00912376
2017-08-17,0.00413593
2017-08-18,0.00903529
2017-08-21,-0.00619604
2017-08-22,-0.01214953
2017-08-23,0.00895161
2017-08-24,0.006907
2017-08-25,-0.00100203
2017-08-28,-0.00173268
2017-08-29,-0.00080427
2017-08-30,0.0019185
2017-08-31,0.00760824
2017-09-01,-0.00207423
2017-09-04,0.0030034
2017-09-05,0.00933868
2017-09-06,-0.00082443
2017-09-07,0.00493323
2017-09-08,-0.00369665
2017-09-11,0.00097892
2017-09-12,-0.00115523
2017-09-13,0.0081119
2017-09-14,-0.00180769
2017-09-15,-0.00678768
2017-09-18,0.00215524
2017-09-19,-0.00280529
2017-09-20,0.00880391
2017-09-21,0.00318794
2017-09-22,-0.00220868
2017-09-25,-0.00628025
2017-09-26,0.00063591
2017-09-27,-0.0008617
2017-09-28,-0.00034519
2017-09-29,0.00101922
2017-10-02,0.01897092
2017-10-03,-0.00551363
2017-10-04,0.00215925
2017-10-05,0.00663745
2017-10-06,0.00933986
2017-10-09,-0.00045437
2017-10-10,0.00267132
2017-10-11,-0.00119394
2017-10-12,0.01427401
2017-10-13,-0.0041088
2017-10-16,0.002738
2017-10-17,-0.00483255
2017-10-18,0.00577116
2017-10-19,-0.00436266
2017-10-20,0.01139642
2017-10-23,-0.00361684
2017-10-24,-0.00029151
2017-10-25,-4.194e-05
2017-10-26,0.00255484
2017-10-27,-0.00362325
2017-10-30,-0.01087781
2017-10-31,-0.0126608
2017-11-01,-0.0014943
2017-11-02,0.00850583
2017-11-03,0.00864265
2017-11-06,0.00395189
2017-11-07,0.0078421
2017-11-08,0.00041498
2017-11-09,-0.00053985
2017-11-10,0.0040975
2017-11-13,0.00978669
2017-11-14,0.01054125
2017-11-15,0.00385909
2017-11-16,-0.00921566
2017-11-17,-0.00396042
2017-11-20,-0.01700923
2017-11-21,0.00980231
2017-11-22,0.00011216
2017-11-23,0.01182658
2017-11-24,0.0124058
2017-11-27,-0.0009895
2017-11-28,0.00643045
2017-11-29,0.00017933
2017-11-30,-0.01151323
2017-12-01,0.00437084
2017-12-04,0.00220797
2017-12-05,0.00225567
2017-12-06,0.01315343
2017-12-07,-0.00722376
2017-12-08,-0.01215151
2017-12-11,0.0087761
2017-12-12,0.01119683
2017-12-13,0.00632448
2017-12-14,0.00162155
2017-12-15,0.00312644
2017-12-18,0.00264277
2017-12-19,0.0016743
2017-12-20,-0.00157155
2017-12-21,0.0094402
2017-12-22,-0.00342763
2017-12-25,-0.00886818
2017-12-26,0.00076653
